KodPAR,state,const_name,total_voters,voted_voters,turnout_rate,majority,party_1,candidate_1,vote_1,percent_1,party_2,candidate_2,vote_2,percent_2,party_3,candidate_3,vote_3,percent_3,party_4,candidate_4,vote_4,percent_4,party_5,candidate_5,vote_5,percent_5,party_6,candidate_6,vote_6,percent_6
109,Selangor,Kapar,"124,983","106,093",84.89%,"16,306",BN,Mohana Muniandy Raman,,,PH,Abdullah Sani Abdul Hamid,,,PAS,Abd Rani Osman,,,PRM,Manikavasagam Sundaram,,,,,,,,,,
110,Selangor,Klang,"149,348","127,074",85.09%,"78,773",BN,Ching Eu Boon,,,PH,Charles Anthony R. Santiago,,,PAS,Khairul Shah Abdullah,,,Independent,Puvanenderan Ganasamoorthy,,,,,,,,,,
111,Selangor,Kota Raja,"149,021","128,126",85.98%,"71,142",BN,V Gunalan Velu,,,PH,Mohamad Sabu,,,PAS,Mohamed Diah Baharun,,,,,,,,,,,,,,
112,Selangor,Kuala Langat,"102,406","88,097",86.03%,"17,112",BN,Shahril Sufian Hamdan,,,PH,Xavier Jayakumar Arulanandam,,,PAS,Yahya Baba,,,,,,,,,,,,,,
113,Selangor,Sepang,"104,508","90,657",86.75%,"18,705",BN,Marsum Paing,,,PH,Mohamed Hanipa Maidin,,,PAS,Sabirin Marsono,,,,,,,,,,,,,,
114,Federal Territory,Kepong,"72,696","61,404",84.47%,"51,628",BN,Ong Siang Liang,,,PH,Lim Lip Eng,,,,,,,,,,,,,,,,,,
115,Federal Territory,Batu,"76,328","62,805",82.28%,"24,438",BN,Dominic Lau Hoe Chai,,,PAS,Azhar Yahya,,,Independent,Prabakaran Parameswaran,,,Independent,VM Panjamothy Muthusamy,,,,,,,,,,
116,Federal Territory,Wangsa Maju,"88,482","73,608",83.19%,"24,238",BN,Yeow Teong Look,,,PH,Tan Yee Kew,,,PAS,Razali Tumrin,,,,,,,,,,,,,,
117,Federal Territory,Segambut,"77,956","64,727",83.03%,"45,702",BN,Loga Bala Mohan Jaganathan,,,PH,Yeoh Tseow Suan,,,PAS,Mohd Solleh Ab Razak,,,,,,,,,,,,,,
118,Federal Territory,Setiawangsa,"72,136","60,852",84.36%,"14,372",BN,Zulhasnan Rafique,,,PH,Nik Nazmi NIk Ahmad,,,PAS,Ubaid Abd Akla,,,,,,,,,,,,,,
119,Federal Territory,Titiwangsa,"61,598","50,386",81.80%,"4,139",BN,Johari Abdul Ghani,,,PH,Rina Mohd Harun,,,PAS,Mohamad Noor Mohamad,,,,,,,,,,,,,,
120,Federal Territory,Bukit Bintang,"69,526","52,408",75.38%,"37,260",BN,Tan Ean Ean,,,PH,Fong Kui Lun,,,PFP,Khairul Husni Othman,,,,,,,,,,,,,,
121,Federal Territory,Lembah Pantai,"80,346","66,305",82.52%,"5,598",BN,Raja Nong Chik Raja Zainal Abidin,,,PH,Ahmad Fahmi Mohamed Fadzil,,,PAS,Fauzi Abu Bakar,,,,,,,,,,,,,,
122,Federal Territory,Seputeh,"86,256","70,129",81.30%,"56,059",BN,Chan Quin Er,,,PH,Teresa Kok Suh Sim,,,,,,,,,,,,,,,,,,
123,Federal Territory,Cheras,"78,819","63,677",80.79%,"49,665",BN,Heng Sinn Yee,,,PH,Tan Kok Wai,,,,,,,,,,,,,,,,,,
124,Federal Territory,Bandar Tun Razak,"83,650","70,206",83.93%,"19,930",BN,Adnan Seman @ Abdullah,,,PH,Kamarudin Jaafar,,,PAS,Rosni Adam,,,,,,,,,,,,,,
125,Federal Territory,Putrajaya,"27,306","24,558",89.94%,"3,372",BN,Tengku Adnan Tengku Mansor,,,PH,Samsu Adabi Mamat,,,PAS,Zainal Abidin Kidam,,,,,,,,,,,,,,
126,Negri Sembilan,Jelebu,"48,522","38,957",80.29%,"2,045",BN,Jalaluddin Alias,,,PH,Mustafar Ab Kadir,,,PAS,Norman Ipin,,,,,,,,,,,,,,
127,Negri Sembilan,Jempol,"72,122","57,274",79.41%,"1,631",BN,Mohd Salim Sharif @ Mohd Sharif,,,PH,Kamarulzaman Kamdias,,,PAS,Mustaffa Daharun,,,,,,,,,,,,,,
128,Negri Sembilan,Seremban,"110,168","91,818",83.34%,"30,694",BN,Chong Sin Woon,,,PH,Loke Siew Fook,,,PAS,Sharifuddin Ahmad,,,,,,,,,,,,,,
129,Negri Sembilan,Kuala Pilah,"49,801","40,237",80.80%,200,BN,Hasan Malek,,,PH,Eddin Syazlee Shith,,,PAS,Rafiei Mustapha,,,,,,,,,,,,,,
130,Negri Sembilan,Rasah,"102,838","85,307",82.95%,"46,867",BN,Ng Kian Nam ,,,PH,Cha Kee Chin ,,,PAS,Mohd Khairil Anuar Mohd Wafa,,,PAP,David Dass Aseerpatham,,,,,,,,,,
131,Negri Sembilan,Rembau,"88,365","73,856",83.58%,"4,364",BN,Khairy Jamaludin Abu Bakar,,,PH,Roseli Abdul Gani,,,PAS,Mustafa Dolah,,,,,,,,,,,,,,
132,Negri Sembilan,Port Dickson,"75,212","61,334",81.55%,"17,710",BN,Mogan Velayatham,,,PH,Danyal Balagopal Abdullah,,,PAS,Mahfuz Roslan,,,,,,,,,,,,,,
133,Negri Sembilan,Tampin,"60,765","48,466",79.76%,"1,002",BN,Shaziman Abu Mansor,,,PH,Hasan Bahrom,,,PAS,Abdul Halim Abu Bakar,,,,,,,,,,,,,,
134,Malacca,Masjid Tanah,"51,441","42,325",82.28%,"8,159",BN,Mas Ermieyati Samsudin,,,PH,Sabirin Ja'afar,,,PAS,Mohd Nasir Othman,,,,,,,,,,,,,,
135,Malacca,Alor Gajah,"70,364","57,815",82.17%,"6,980",BN,Wong Nai Chee,,,PH,Mohd Redzuan Md Yusof,,,PAS,Mohammad Nazree Mohammad Aris,,,,,,,,,,,,,,
136,Malacca,Tangga Batu,"83,213","69,142",83.09%,"4,659",BN,Zali Mat Yasin,,,PH,Rusnah Aluai,,,PAS,Zukifli Ismail,,,,,,,,,,,,,,
137,Malacca,Hang Tuah Jaya,"89,364","76,583",85.70%,"8,640",BN,Mohd Ali Mohd Rustam,,,PH,Shamsul Iskandar @ Yusre Mohd Akin,,,PAS,Md Khalid Kassim,,,,,,,,,,,,,,
138,Malacca,Kota Melaka,"126,848","105,276",82.99%,"49,175",BN,Choo Wei Sern,,,PH,Khoo Poay Tiong,,,Independent,Goh Leong San,,,,,,,,,,,,,,
139,Malacca,Jasin,"73,432","61,761",84.11%,219,BN,Ahmad Hamzah,,,PH,Khairuddin Abu Hassan,,,PAS,Abd Alim Shapie,,,,,,,,,,,,,,
140,Johor,Segamat,"55,350","45,320",81.88%,"5,476",BN,Subramaniam K.V. Sathasivam,,,PH,Santhara Kumar Ramanaidu,,,PAS,Khairul Faizi Ahmad Kamil,,,,,,,,,,,,,,
141,Johor,Sekijang,"45,596","37,837",82.98%,"1,281",BN,Ayub Rahmat,,,PH,Natrah Ismail,,,,,,,,,,,,,,,,,,
142,Johor,Labis,"40,356","32,030",79.37%,"3,408",BN,Chua Tee Yong,,,PH,Pang Hok Liong,,,PAS,Sarchu Sawal,,,,,,,,,,,,,,
143,Johor,Pagoh,"51,512","42,672",82.84%,"6,927",BN,Ismail Mohamed,,,PH,Muhyiddin Md Yasin,,,PAS,Ahmad Nawfal Mahfodz,,,,,,,,,,,,,,
144,Johor,Ledang,"77,474","65,414",84.43%,"8,666",BN,Hamim Samuri,,,PH,Syed Ibrahim Syed Nor,,,PAS,Rusman Kemin,,,,,,,,,,,,,,
145,Johor,Bakri,"73,883","61,800",83.65%,"23,211",BN,Kon Chon Chai,,,PH,Yeo Bee Yin,,,PAS,Zarul @ Mohamad Zahrul Salleh,,,,,,,,,,,,,,
146,Johor,Muar,"50,843","42,083",82.77%,"6,953",BN,Razali Ibrahim,,,PH,Syed Saddiq Syed Abdul Rahman,,,PAS,Abdul Aziz Talib,,,,,,,,,,,,,,
147,Johor,Parit Sulong,"59,609","49,769",83.49%,"6,341",BN,Noraini Ahmad,,,PH,Anis Afida Mohd Azli,,,PAS,Ahmad Rosdi Bahari,,,,,,,,,,,,,,
148,Johor,Ayer Hitam,"46,157","38,824",84.11%,303,BN,Wee Ka Siong,,,PH,Liew Chin Tong,,,PAS,Mardi Marwan,,,,,,,,,,,,,,
149,Johor,Sri Gading,"52,119","44,282",84.96%,"3,288",BN,Ab Aziz Kaprawi,,,PH,Sharuddin Md Salleh,,,PAS,M Ash'ari Sidon,,,,,,,,,,,,,,
150,Johor,Batu Pahat,"98,543","82,137",83.35%,"17,894",BN,Haliza Abdullah,,,PH,Mohd Rashid Hasnon,,,PAS,Mahfodz Mohamed,,,,,,,,,,,,,,
151,Johor,Simpang Renggam,"43,998","35,822",81.42%,"3,475",BN,Liang Teck Meng,,,PH,Mazlee Malik,,,PAS,Mohd Jubri Selamat,,,,,,,,,,,,,,
152,Johor,Kluang,"96,915","80,531",83.09%,"23,053",BN,Gan Ping Sieu,,,PH,Wong Shu Qi,,,PAS,Muhammad Hasbullah Md Najib,,,,,,,,,,,,,,
153,Johor,Sembrong,"44,137","36,044",81.66%,"6,662",BN,Hishammuddin Hussein,,,PH,Onn Abu Bakar,,,,,,,,,,,,,,,,,,
154,Johor,Mersing,"48,176","37,368",77.57%,"8,459",BN,Abd Latiff Ahmad,,,PH,Md Nasir Hashim,,,PAS,A. Rahman A. Hamid,,,,,,,,,,,,,,
155,Johor,Tenggara,"44,749","37,034",82.76%,"5,933",BN,Adham Baba,,,PH,Norjepri Mohamed Jelani,,,PAS,Yuhanita Yunan,,,,,,,,,,,,,,
156,Johor,Kota Tinggi,"46,677","38,193",81.82%,"14,621",BN,Halimah Mohd Sadique,,,PH,Azlinda Abdul Latif,,,,,,,,,,,,,,,,,,
157,Johor,Pengerang,"40,479","32,241",79.65%,"11,417",BN,Azalina Othman,,,PH,Norliza Ngadiran,,,,,,,,,,,,,,,,,,
158,Johor,Tebrau,"123,033","103,943",84.48%,"37,225",BN,Hou Kok Chung,,,PH,Choong Shiau Yoon,,,PAS,Abdullah Husin,,,,,,,,,,,,,,
159,Johor,Pasir Gudang,"124,172","105,009",84.57%,"24,726",BN,Mohamed Khaled Nordin ,,,PH,Hassan Abdul Karim,,,PAS,Ab Aziz Abdullah,,,Independent,Sey Jock @ Chee Jock,,,,,,,,,,
160,Johor,Johor Bahru,"101,409","80,322",79.21%,"19,782",BN,Sharir Ab Samad,,,PH,Akmal Nasrullah Mohd Nasir,,,,,,,,,,,,,,,,,,
161,Johor,Pulai,"106,268","86,893",81.77%,"28,924",BN,Nur Jazlan Mohamed,,,PH,Salahuddin Ayub,,,PAS,Mohd Mazri Yahya,,,Independent,Yap Keng Tak,,,,,,,,,,
162,Johor,Iskandar Puteri,"138,299","116,588",84.30%,"44,864",BN,Teoh Sew Hock,,,PH,Lim Kit Siang,,,,,,,,,,,,,,,,,,
163,Johor,Kulai,"99,147","84,543",85.27%,"32,748",BN,Tang Nai Soon,,,PH,Teo Nie Ching,,,PAS,Juwahir Amin,,,,,,,,,,,,,,
164,Johor,Pontian,"55,570","45,726",82.29%,833,BN,Ahmad Maslan,,,PH,Karmaine Sardini,,,PAS,Baharom Mohamad,,,,,,,,,,,,,,
165,Johor,Tanjung Piai,"53,528","44,948",83.97%,524,BN,Wee Jeck Seng,,,PH,Md Farid Md Rafik,,,PAS,Nordin Othman,,,,,,,,,,,,,,
166,Sabah,Labuan,"28,356","21,358",75.32%,"1,450",BN,Rozman Isli,,,SHP,Noor Halim Zaini,,,PAS,Ahmad Junid @ Junit B. Modh Aling @ Aling,,,SPHP,Siti Zaleha S.W. Ibrahim,,,,,,,,,,
167,Sabah,Kudat,"52,251","37,079",70.96%,"1,359",BN,Abdul Rahim Bakri,,,SHP,Sh Azman Sh Along,,,SPHP,Mohd Ashraf Chin Abdullah,,,,,,,,,,,,,,
168,Sabah,Kota Marudu,"47,007","33,906",72.13%,"1,774",BN,Johnity @ Maximus Ongkili,,,SHP,Barlus Mangabis,,,SPHP,Maijol Mahap,,,LSP,Paul Porodong,,,,,,,,,,
169,Sabah,Kota Belud,"57,919","46,098",79.59%,"4,262",BN,Md Salleh Md Said,,,SHP,Isnaraissah Munirah Majilis @ Fakharudy,,,PAS,Laiman Ikin @ Ag Laiman B. Kakimin,,,SPHP,Miasin @ Aimaduddin Mion,,,,,,,,,,
170,Sabah,Tuaran,"54,400","43,643",80.23%,"7,624",BN,Wilfred Madius Tangau,,,PH,Chrisnadia Sinam,,,PAS,Paumin @ Mohd Aminuddin Aling,,,LSP,Kalakau @ Kalakan Untol @ Entol,,,SPHP,Syra Peter @ P Gom,,,,,,
171,Sabah,Sepanggar,"62,415","47,785",76.56%,"12,984",BN,Abd Rahman Dahlan,,,SHP,Mohd Azis Jamman,,,SAPP,Jeffrey Kumin,,,LSP,Robert Sopining,,,,,,,,,,
172,Sabah,Kota Kinabalu,"56,220","42,310",75.26%,"24,086",BN,Lee Han Kyun @ Joseph Lee,,,PH,Chan Foong Hin,,,SAPP,Yong Teck Lee,,,,,,,,,,,,,,
173,Sabah,Putatan,"41,312","30,790",74.53%,"2,339",BN,Makin @ Marcus Majigoh,,,PH,Awang Husaini Sahari,,,PAS,Zulzaim Hilmee Abidin,,,SPHP,Jivol @ Edmund Doudilim,,,ANAKNEGERI,Mil Kusin Abdillah,,,,,,
174,Sabah,Penampang,"53,131","43,108",81.14%,"23,473",BN,Caesar Mandela Malakun,,,SHP,Ignatius Dorell Leiking,,,ANAKNEGERI,Edwin @ Jack Bosi,,,HSP,Cleftus Stephen Spine,,,,,,,,,,
175,Sabah,Papar,"43,586","35,836",82.22%,325,BN,Rosnah Abd Rashid Shirlin,,,SHP,Ahmad Hassan,,,LSP,Elbert Sikuil,,,HSP,Jamil William Core,,,,,,,,,,
176,Sabah,Kimanis,"29,618","25,028",84.50%,156,BN,Anifah Aman,,,SHP,Karim Bujang,,,SPHP,Jaafar Ismail,,,,,,,,,,,,,,
177,Sabah,Beaufort,"33,342","27,212",81.61%,"3,331",BN,Azizah Mohd Dun,,,PH,Johan @ Christopher Ot Ghani,,,SHP,Lajim Ukin,,,,,,,,,,,,,,
178,Sabah,Sipitang,"31,882","24,771",77.70%,852,BN,Yamani Hafez Musa,,,SHP,Noor Hayaty Mustapha,,,SPHP,Dayang Aezzy Liman,,,,,,,,,,,,,,
179,Sabah,Ranau,"43,706","32,942",75.37%,"1,076",BN,Ewon Ebin,,,PH,Jonathan Yasin,,,LSP,Andau Yasun @ Bruno,,,HSP,Soudi @ Sami Andang,,,,,,,,,,
180,Sabah,Keningau,"51,177","40,149",78.45%,45,BN,Daniel Kinsik,,,SHP,Jikulin Nointin @ Anastasius,,,LSP,Jius Awang,,,HSP,Gapari Katingan @ Geoffrey Kitingan,,,Independent,Justin Guka,,,Independent,Maimin Rijan @ Jeffrus Rijan,,
181,Sabah,Tenom,"29,182","22,238",76.20%,"1,133",BN,Rubin Balang,,,PH,Noorita Sual,,,SPHP,Laimoi @ Yuslinah Laikim,,,,,,,,,,,,,,
182,Sabah,Pensiangan,"31,377","24,368",77.66%,"2,314",BN,Arthur Joseph Kurup,,,PH,Raymond Ahuar,,,LSP,Maidin Atak @ Maidin Osman,,,HSP,Joh Jimmy @ Richard Joe Jimmy,,,Independent,Engah Sintan @ Dahlan Abdullah,,,,,,
183,Sabah,Beluran,"28,509","20,698",72.60%,"7,115",BN,Ronald Kiandee,,,SHP,Japar Zairun,,,SPHP,Sipin Kadangi,,,LSP,Toidy Luit,,,Perpaduan,Lem @ Salim Matin,,,Independent,Salimah Oyong,,
184,Sabah,Libaran,"47,914","36,143",75.43%,678,BN,Zakaria Mohd Edris @ Tubau,,,SHP,Irwanshah Mustapa,,,SPHP,Alfian Mansyur,,,,,,,,,,,,,,
185,Sabah,Batu Sapi,"32,574","23,261",71.41%,"4,619",BN,Tsen Thau Lin,,,SHP,Liew Vui Keong,,,PAS,Norsah Bongsu,,,NTP,Hamza A. Abdullah @ Hamzah,,,,,,,,,,
186,Sabah,Sandakan,"39,777","28,090",70.62%,"10,098",BN,Lim Ming Ho,,,PH,Wong Tien Fatt,,,,,,,,,,,,,,,,,,
187,Sabah,Kinabatangan,"28,730","21,518",74.90%,"9,478",BN,Moktar Radin,,,SHP,M A Ghazali Abdul Ghani,,,SPHP,Mustapa Tambuyong,,,,,,,,,,,,,,
188,Sabah,Silam,"60,942","43,040",70.62%,"6,401",BN,Nasrun Mansur,,,SHP,Mohamaddin Ketapi,,,PAS,Ramli Pataruddin,,,SPHP,Siti Shazianti Ajak,,,,,,,,,,
189,Sabah,Semporna,"48,248","33,426",69.28%,"20,674",BN,Ramlee Marahaban,,,SHP,Mohd Shafie Apdal,,,PAS,Abdul Nasir Ab Raup,,,SPHP,Asmara Asmad,,,,,,,,,,
190,Sabah,Tawau,"59,919","42,753",71.35%,"4,727",BN,Mary Yap Ken Jin,,,PH,Liew Chin Jin,,,PAS,Mohamad Husain,,,SPHP,Alizaman Jijurahman,,,,,,,,,,
191,Sabah,Kalabakan,"52,199","36,909",70.71%,"3,187",BN,Abdul Ghapur Salleh,,,SHP,Ma'mun Sulaiman,,,PAS,Nor Aloh,,,PPRS,Ahmad Lahama,,,,,,,,,,
192,Sarawak,Mas Gading,"29,617","22,518",76.03%,"3,024",BN,Nogeh Gumbek,,,PH,Mordi Bimol,,,,,,,,,,,,,,,,,,
193,Sarawak,Santubong,"45,628","33,273",72.92%,"19,485",BN,Wan Junaidi Tuanku Jaafar,,,PH,Mohamad Fidzuan Zaidi,,,,,,,,,,,,,,,,,,
194,Sarawak,Petra Jaya,"57,925","42,945",74.14%,"15,017",BN,Fadillah Yusof,,,PH,Nor Irwan Ahmat Nor,,,PAS,Hamdan Sani,,,,,,,,,,,,,,
195,Sarawak,Bandar Kuching,"81,856","61,123",74.67%,"35,973",BN,Kho Teck Wan,,,PH,Kelvin Yii Lee Wuen,,,,,,,,,,,,,,,,,,
196,Sarawak,Stampin,"66,240","51,899",78.35%,"14,221",BN,Sim Kui Hian,,,PH,Chong Chieng Jen,,,,,,,,,,,,,,,,,,
197,Sarawak,Kota Samarahan,"46,300","35,867",77.47%,"16,992",BN,Rubiah Wang,,,PH,Sopian Julaihi,,,PAS,Zulkipli Ramzi,,,,,,,,,,,,,,
198,Sarawak,Puncak Borneo,"46,180","34,520",74.75%,"4,005",BN,Genot Anak Sinel @ Jeannoth Sinel,,,PH,Willie Mongin,,,STAR,Buln Patrick Ribos,,,,,,,,,,,,,,
199,Sarawak,Serian,"37,629","27,419",72.87%,"9,905",BN,Richard Riot Jaem,,,PH,Edward Andrew Luwak @ Edward Luwak,,,Independent,Senior William Rade,,,,,,,,,,,,,,
200,Sarawak,Batang Sadong,"23,213","17,066",73.52%,"12,328",BN,Nancy Shukri,,,PH,Othman Mustapha @ Mos,,,PAS,Asan Singkro,,,,,,,,,,,,,,
201,Sarawak,Batang Lupar,"29,811","20,151",67.60%,"10,277",BN,Rohani Abdul Karim,,,PH,Narudin Mentali,,,PAS,Wan Abdillah Wan Ahmad,,,,,,,,,,,,,,
202,Sarawak,Sri Aman,"33,016","23,000",69.66%,"5,820",BN,Masir Kujat,,,PH,Norina Umoi Utot,,,PBDSB,Cobbold Lusoi,,,,,,,,,,,,,,
203,Sarawak,Lubok Antu,"20,801","14,551",69.95%,"1,059",BN,Robert Pasang Alam,,,PH,Nicholas Bawin Anggat,,,Independent,Tambat @ Jugah AK Muyang,,,,,,,,,,,,,,
204,Sarawak,Betong,"29,145","20,720",71.09%,"8,116",BN,Robert Lawson Chuat,,,PH,Noel Changgai Bucking,,,Independent,Abang Ahmad Abang Suni,,,,,,,,,,,,,,
205,Sarawak,Saratok,"30,517","22,707",74.41%,989,BN,Jagah @ Subeng Mula,,,PH,Ali Biju,,,,,,,,,,,,,,,,,,
206,Sarawak,Tanjong Manis,"21,899","14,130",64.52%,"8,674",BN,Yusuf Abd Wahab,,,PH,Mohamad Fadillah Sabali,,,,,,,,,,,,,,,,,,
207,Sarawak,Igan,"19,592","12,581",64.21%,"8,495",BN,Ahmad Johnie Zawawi,,,PH,Andri Zulkarnaen Hamden,,,,,,,,,,,,,,,,,,
208,Sarawak,Sarikei,"39,561","30,476",77.04%,"2,570",BN,Huang Tiong Sii ,,,PH,Wong Ling Biu,,,PBK,Wong Chin King,,,,,,,,,,,,,,
209,Sarawak,Julau,"25,380","18,279",72.02%,"1,931",BN,Joseph Salang Gandum,,,Independent,Larry Sng Wei Shien,,,,,,,,,,,,,,,,,,
210,Sarawak,Kanowit,"21,022","14,792",70.36%,"4,312",BN,Ago Dagang,,,PH,Satu Anchom,,,,,,,,,,,,,,,,,,
211,Sarawak,Lanang,"61,973","45,892",74.05%,"14,546",BN,Kong Sien Chiu,,,PH,Alice Lau Kiong Yieng,,,PEACE,Priscilla Lau,,,,,,,,,,,,,,
212,Sarawak,Sibu,"74,149","56,753",76.54%,"11,422",BN,Wong Kee Yew,,,PH,Oscar Ling Chai Yew,,,PEACE,Tiew Yen Houng,,,PBDSB,Tiong Ing Tung,,,,,,,,,,
213,Sarawak,Mukah,"30,608","20,706",67.65%,"7,000",BN,Hanifah Hajar Taib ,,,PH,Abdul Jalil Bujang,,,,,,,,,,,,,,,,,,
214,Sarawak,Selangau,"30,026","21,970",73.17%,486,BN,Rita Sarimah Patrick Insol,,,PH,Baru Bian,,,,,,,,,,,,,,,,,,
215,Sarawak,Kapit,"30,658","18,125",59.12%,"10,479",BN,Alexander Nanta Linggi,,,PH,Paren Nyawi,,,PAS,,,,,,,,,,,,,,,
216,Sarawak,Hulu Rajang,"27,520","17,353",63.06%,"6,315",BN,Ugak Kumbong,,,PH,Abun Sui Anyit,,,PAS,,,,,,,,,,,,,,,
217,Sarawak,Bintulu,"65,049","47,458",72.96%,"7,022",BN,Tiong King Sing,,,PH,Chiew Chan Yew,,,PBDSB,Chieng Lea Phing,,,,,,,,,,,,,,
218,Sarawak,Sibuti,"31,868","22,369",70.19%,"3,676",BN,Lukanisman Awang Sauni,,,PH,Jemat Panjang,,,PAS,Zulaihi Bakar,,,,,,,,,,,,,,
219,Sarawak,Miri,"80,386","57,815",71.92%,"13,663",BN,Sebastian Ting Chiew Yew,,,PH,Michael Teo Yu Keng,,,,,,,,,,,,,,,,,,
220,Sarawak,Baram,"35,685","22,352",62.64%,"1,990",BN,Anyi Ngau,,,PH,Roland Engan,,,,,,,,,,,,,,,,,,
221,Sarawak,Limbang,"26,409","17,468",66.14%,"7,710",BN,Hasbi Habibollah,,,PH,Ricardo Osmund Yampil Baba,,,PAS,,,,,,,,,,,,,,,
222,Sarawak,Lawas,"21,297","14,250",66.91%,"6,000",BN,Henry Sum Agong,,,PH,Danny Piri,,,Independent,Mohamad Brahim,,,,,,,,,,,,,,
